Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1760194556420,2025-10-11 10:55:56,1,2,Chrome
anonymous-1760193773927,2025-10-11 10:42:54,1,2,Chrome
anonymous-1760193670347,2025-10-11 10:41:10,1,2,Chrome
anonymous-1760193593915,2025-10-11 10:40:06,1,16,Chrome
anonymous-1760193586355,2025-10-11 10:39:46,1,2,Chrome
anonymous-1760193568642,2025-10-11 10:39:29,1,2,Chrome
anonymous-1760152892640,2025-10-10 23:21:32,1,3,Safari
anonymous-1760152384094,2025-10-10 23:13:04,1,2,Chrome
anonymous-1760152362522,2025-10-10 23:12:42,1,2,Chrome
anonymous-1760151744786,2025-10-10 23:02:24,1,2,Chrome
anonymous-1760151674326,2025-10-10 23:01:14,1,2,Chrome
anonymous-1760151644331,2025-10-10 23:00:44,1,18,Chrome
anonymous-1760151586078,2025-10-10 22:59:46,1,2,Chrome
anonymous-1760151566162,2025-10-10 22:59:26,1,16,Chrome
anonymous-1760150937211,2025-10-10 22:48:57,1,3,Safari
anonymous-1760150876861,2025-10-10 22:47:57,1,4,Safari
anonymous-1760149223409,2025-10-10 22:20:23,1,4,Safari
anonymous-1760148488846,2025-10-10 22:08:09,1,15,Safari
anonymous-1760148253064,2025-10-10 22:04:13,1,4,Chrome
anonymous-1760148249943,2025-10-10 22:04:10,1,3,Webkit
anonymous-1760148249973,2025-10-10 22:04:10,1,2,Webkit
anonymous-1760147994493,2025-10-10 21:59:54,1,3,Webkit
anonymous-1760147994453,2025-10-10 21:59:54,1,2,Webkit
anonymous-1760147894527,2025-10-10 21:58:14,1,15,Safari
anonymous-1760147584195,2025-10-10 21:53:04,1,16,Safari
anonymous-1760147558129,2025-10-10 21:52:38,1,3,Webkit
anonymous-1760147558070,2025-10-10 21:52:38,1,2,Webkit
anonymous-1760147433214,2025-10-10 21:50:33,1,2,Webkit
anonymous-1760147433162,2025-10-10 21:50:33,1,3,Webkit
anonymous-1760147226337,2025-10-10 21:47:06,1,3,Webkit
anonymous-1760147226342,2025-10-10 21:47:06,1,2,Webkit
anonymous-1760146496512,2025-10-10 21:34:56,1,2,Webkit
anonymous-1760146496439,2025-10-10 21:34:56,1,3,Webkit
anonymous-1760146114229,2025-10-10 21:28:34,1,3,Webkit
anonymous-1760145815914,2025-10-10 21:23:35,1,4,Chrome
anonymous-1760145812308,2025-10-10 21:23:32,1,3,Webkit
anonymous-1760145812329,2025-10-10 21:23:32,1,2,Webkit
anonymous-1760145454734,2025-10-10 21:17:35,1,4,Webkit
anonymous-1760145454727,2025-10-10 21:17:35,1,3,Webkit
34,2025-10-10 21:16:18,8,701,Chrome
anonymous-1760145369946,2025-10-10 21:16:10,1,2,Safari
anonymous-1760145367129,2025-10-10 21:16:07,1,2,Safari
anonymous-1760143614693,2025-10-10 20:47:19,1,23,Safari
anonymous-1760143613600,2025-10-10 20:46:53,1,2,Safari
anonymous-1760143609221,2025-10-10 20:46:49,1,4,Safari
anonymous-1760143357107,2025-10-10 20:42:37,1,16,Safari
anonymous-1760142719655,2025-10-10 20:31:59,1,2,Safari
anonymous-1760142702403,2025-10-10 20:31:42,1,15,Safari
7,2025-10-10 19:33:38,4,27,Safari
anonymous-1760139171773,2025-10-10 19:33:28,1,24,Safari
anonymous-1760138763420,2025-10-10 19:26:04,1,2,Chrome
anonymous-1760138659040,2025-10-10 19:24:19,1,2,Chrome
anonymous-1760138435394,2025-10-10 19:20:35,1,2,Chrome
anonymous-1760137091412,2025-10-10 19:19:19,1,13,Chrome
anonymous-1760137629371,2025-10-10 19:07:10,1,13,Chrome
anonymous-1760137095631,2025-10-10 18:58:15,1,4,Chrome
anonymous-1760136771331,2025-10-10 18:52:51,1,3,Chrome
anonymous-1760136138793,2025-10-10 18:42:19,1,3,Chrome
anonymous-1760135846611,2025-10-10 18:37:26,1,4,Chrome
anonymous-1760135841651,2025-10-10 18:37:22,1,4,Chrome
anonymous-1760134577126,2025-10-10 18:16:17,1,3,Safari
anonymous-1760134184979,2025-10-10 18:09:45,1,3,Chrome
anonymous-1760130614945,2025-10-10 17:10:15,1,2,Chrome
anonymous-1760129398992,2025-10-10 16:49:59,1,2,Chrome
anonymous-1760129364394,2025-10-10 16:49:24,1,2,Chrome
anonymous-1760128815184,2025-10-10 16:40:16,1,3,Chrome
anonymous-1760124937412,2025-10-10 15:35:37,1,2,Chrome
anonymous-1760124344263,2025-10-10 15:25:44,1,2,Chrome
anonymous-1760124335147,2025-10-10 15:25:35,1,2,Chrome
anonymous-1760110458948,2025-10-10 11:42:11,1,16,Chrome
anonymous-1760109799588,2025-10-10 11:23:20,1,2,Safari
anonymous-1760108962101,2025-10-10 11:09:26,1,4,Chrome
anonymous-1760108917086,2025-10-10 11:08:37,1,15,Chrome
